image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(668),1,-1,0,1,2,1,1
coffe_image(669),2,1,2,1,2,0,1
coffe_image(670),0,2,0,1,0,0,1
coffe_image(671),2,-1,2,1,2,0,1
coffe_image(672),0,2,0,1,0,0,1
coffe_image(673),1,2,0,2,1,2,1
coffe_image(674),1,-1,0,1,1,0,1
coffe_image(675),2,-1,2,1,2,0,1
coffe_image(676),2,-1,2,2,2,2,1
coffe_image(677),1,-1,0,1,2,1,1
coffe_image(678),2,-1,2,2,2,2,1
coffe_image(679),0,2,0,2,1,2,1
coffe_image(680),2,-1,2,1,2,2,1
coffe_image(681),2,-1,0,2,1,1,1
coffe_image(682),2,-1,0,2,1,1,1
coffe_image(683),2,1,0,1,2,0,1
coffe_image(684),2,1,1,2,2,2,1
coffe_image(685),0,2,0,1,0,0,1
coffe_image(686),1,1,0,2,1,1,1
coffe_image(687),2,-1,2,2,2,1,1
coffe_image(688),2,-1,2,2,2,1,1
