image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(251),1,0,0,2,0,1,1
coffe_image(252),1,0,0,2,0,1,1
coffe_image(253),1,0,0,2,0,1,1
coffe_image(254),1,0,0,2,0,1,1
coffe_image(255),1,2,0,2,0,1,1
coffe_image(256),1,2,0,2,0,1,1
coffe_image(257),1,2,0,2,0,1,1
coffe_image(258),1,2,0,2,0,1,1
coffe_image(259),1,2,0,2,0,1,1
coffe_image(260),0,0,0,2,1,0,1
coffe_image(261),0,0,0,2,1,0,1
coffe_image(262),0,0,0,2,1,0,1
coffe_image(263),0,0,0,2,1,0,1
coffe_image(264),0,0,0,2,1,0,1
coffe_image(265),0,0,0,2,1,0,1
coffe_image(266),0,0,0,2,1,0,1
coffe_image(267),0,0,0,2,1,0,1
coffe_image(268),0,0,0,2,1,0,1
coffe_image(269),0,0,0,2,1,0,1
coffe_image(270),1,2,0,2,0,1,1
coffe_image(271),1,2,0,2,0,1,1
coffe_image(272),1,2,0,2,0,1,1
coffe_image(273),1,2,0,2,0,1,1
coffe_image(274),0,1,0,2,1,1,1
coffe_image(275),0,1,0,2,1,1,1
coffe_image(276),0,1,0,2,1,1,1
coffe_image(277),0,1,0,2,1,1,1
coffe_image(278),0,1,0,2,1,1,1
coffe_image(279),0,1,0,2,1,1,1
coffe_image(280),0,1,0,2,1,1,1
coffe_image(281),0,1,0,2,1,1,1
coffe_image(282),0,1,0,2,1,1,1
coffe_image(283),0,1,0,2,1,1,1
coffe_image(284),0,1,0,2,1,1,1
coffe_image(285),0,1,0,2,1,1,1
coffe_image(286),0,1,0,2,1,1,1
coffe_image(287),0,1,0,2,1,1,1
coffe_image(288),0,1,0,2,1,1,1
coffe_image(289),0,1,0,2,1,1,1
coffe_image(290),0,1,0,2,1,1,1
coffe_image(291),0,1,0,2,1,1,1
coffe_image(292),1,2,0,2,0,1,1
coffe_image(293),1,2,0,2,0,1,1
coffe_image(294),1,2,0,2,0,1,1
coffe_image(295),1,2,0,2,0,1,1
coffe_image(296),1,2,0,2,0,1,1
coffe_image(297),1,2,0,2,0,1,1
coffe_image(298),1,2,0,2,0,1,1
coffe_image(299),1,2,0,2,0,1,1
coffe_image(300),1,2,0,2,0,1,1
