image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(651),2,-1,1,2,2,0,1
coffe_image(652),2,0,2,1,2,0,1
coffe_image(653),1,-1,0,1,2,0,1
coffe_image(654),1,2,0,2,1,1,1
coffe_image(655),0,2,0,1,0,0,1
coffe_image(656),1,2,0,2,1,1,1
coffe_image(657),1,2,0,1,0,1,1
coffe_image(658),1,2,0,1,0,1,1
coffe_image(659),1,2,0,1,0,1,1
coffe_image(660),2,-1,2,2,2,2,1
coffe_image(661),1,-1,0,0,2,0,1
coffe_image(662),1,-1,0,1,2,1,1
coffe_image(663),2,-1,2,1,2,1,1
coffe_image(664),1,-1,0,1,1,0,1
coffe_image(665),0,2,0,1,0,1,1
coffe_image(666),0,2,0,1,0,1,1
coffe_image(667),0,2,0,2,0,2,1
