image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(1).jpg,0,2,0,1,0,0,1
coffe_image(10).jpg,2,-1,2,0,2,0,1
coffe_image(12).jpg,2,-1,2,0,2,0,1
coffe_image(13).jpg,0,1,0,0,2,0,1
coffe_image(14).jpg,0,2,0,0,0,0,1
coffe_image(15).jpg,2,-1,2,0,2,0,1
coffe_image(16).jpg,2,-1,2,0,2,0,1
coffe_image(17).jpg,0,2,0,0,0,0,1
coffe_image(19).jpg,2,-1,2,0,2,0,1
coffe_image(2).jpg,2,-1,1,2,2,2,1
coffe_image(20).jpg,1,-1,2,0,2,0,1
coffe_image(21).jpg,2,1,2,0,2,0,1
coffe_image(22).jpg,2,-1,2,0,2,0,1
coffe_image(23).jpg,1,-1,0,0,2,0,1
coffe_image(24).jpg,2,-1,2,0,2,0,1
coffe_image(25).jpg,2,-1,2,0,2,0,1
coffe_image(26).jpg,2,-1,2,0,2,0,1
coffe_image(27).jpg,2,-1,2,0,2,0,1
coffe_image(28).jpg,2,-1,2,0,2,0,1
coffe_image(29).jpg,2,-1,2,0,2,0,1
coffe_image(3).jpg,1,2,0,2,1,1,1
coffe_image(30).jpg,0,0,0,0,2,0,1
coffe_image(31).jpg,2,2,0,1,1,0,1
coffe_image(32).jpg,0,2,0,1,0,0,1
coffe_image(33).jpg,0,0,0,0,2,0,1
coffe_image(34).jpg,2,1,0,1,1,0,1
coffe_image(35).jpg,2,1,0,2,2,0,1
coffe_image(36).jpg,2,2,0,2,1,0,1
coffe_image(37).jpg,0,2,0,0,0,0,1
coffe_image(38).jpg,0,0,0,0,1,0,1
coffe_image(39).jpg,1,-1,0,0,1,0,1
coffe_image(4).jpg,0,1,0,2,2,1,1
coffe_image(40).jpg,0,2,0,1,0,0,1
coffe_image(41).jpg,0,2,0,1,0,0,1
coffe_image(42).jpg,0,2,0,1,0,0,1
coffe_image(43).jpg,0,2,0,1,0,0,1
coffe_image(44).jpg,0,2,0,1,0,0,1
coffe_image(45).jpg,0,2,0,1,0,0,1
coffe_image(46).jpg,1,2,0,1,0,0,1
coffe_image(47).jpg,1,2,0,1,0,0,1
coffe_image(48).jpg,1,2,0,1,0,0,1
coffe_image(49).jpg,1,2,0,1,0,0,1
coffe_image(5).jpg,0,2,0,0,0,0,1
coffe_image(50).jpg,1,2,0,1,0,0,1
coffe_image(6).jpg,1,2,0,2,1,2,1
coffe_image(7).jpg,0,2,0,0,0,0,1
coffe_image(8).jpg,2,-1,2,0,2,0,1
