                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0108,                 3.0018,                 2.5055,                0.38789,                0.59375,                0.40475,                0.20896,                 3.0126,                 2.7855,                  4.864,             0.00066387,             0.00066387,             0.00066387
                      2,                  1.771,                 2.1624,                 2.2233,                0.31267,                0.67098,                0.27518,                0.13777,                 3.2095,                 2.2399,                  5.141,              0.0011988,              0.0011988,              0.0011988
                      3,                 1.7071,                 1.9252,                 2.1529,                0.35464,                  0.725,                0.33165,                0.14858,                 3.1957,                 2.4699,                 5.1116,              0.0016018,              0.0016018,              0.0016018
                      4,                 1.5812,                 1.7561,                 2.0454,                0.43298,                 0.7125,                0.43856,                0.23593,                 3.0506,                 2.0874,                 4.9972,               0.001406,               0.001406,               0.001406
                      5,                 1.4894,                 1.6425,                 1.9466,                0.43713,                0.74375,                0.47777,                0.29695,                 2.9451,                  1.834,                 5.0621,               0.001208,               0.001208,               0.001208
                      6,                 1.3705,                 1.5333,                 1.8492,                0.45151,                  0.825,                0.45588,                0.30463,                 2.8627,                 1.6217,                 4.8872,                0.00101,                0.00101,                0.00101
                      7,                 1.2877,                 1.4356,                 1.7662,                0.43381,                   0.85,                0.50056,                0.34736,                 2.8074,                 1.6176,                 5.0799,               0.000812,               0.000812,               0.000812
                      8,                 1.1758,                 1.3586,                 1.6795,                0.45471,                0.81304,                0.58963,                0.39665,                 2.6746,                  1.552,                 4.8145,               0.000614,               0.000614,               0.000614
                      9,                 1.1219,                  1.308,                 1.6303,                 0.5233,                  0.775,                0.62257,                0.47722,                 2.6552,                 1.4967,                 4.7991,               0.000416,               0.000416,               0.000416
                     10,                 1.0789,                 1.2624,                  1.597,                0.45068,                0.86875,                0.53493,                0.42145,                 2.6059,                 1.4721,                 4.9034,               0.000218,               0.000218,               0.000218
