                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1639,                 2.6846,                 2.4754,                 0.3573,                0.30625,                0.26729,                0.08422,                  3.701,                  3.589,                 5.7995,             0.00066387,             0.00066387,             0.00066387
                      2,                  1.903,                 2.4751,                 2.3121,                0.37905,                 0.4375,                0.31316,                0.14684,                 3.2205,                 3.1256,                 4.2896,              0.0012427,              0.0012427,              0.0012427
                      3,                 1.8521,                 2.4156,                 2.2645,                0.32418,                0.54863,                0.31264,                0.15072,                 3.1199,                 2.9116,                 5.3252,              0.0017336,              0.0017336,              0.0017336
                      4,                 1.7912,                 2.3426,                 2.2083,                0.51115,                  0.525,                0.50058,                0.21566,                 3.0939,                 2.6501,                  5.071,               0.001604,               0.001604,               0.001604
                      5,                 1.7136,                 2.2723,                 2.1552,                0.40165,                 0.6875,                0.47472,                0.25931,                 2.9417,                 2.4384,                 4.1814,               0.001472,               0.001472,               0.001472
                      6,                 1.4828,                 1.9257,                 2.0332,                0.47226,                 0.5875,                0.45525,                0.26448,                 2.9532,                 1.9961,                 5.1308,                0.00134,                0.00134,                0.00134
                      7,                   1.39,                 1.6746,                 1.9485,                0.59947,                0.69224,                0.60281,                0.34421,                 2.9347,                 1.7748,                 4.6317,               0.001208,               0.001208,               0.001208
                      8,                 1.3316,                 1.5531,                 1.8852,                0.45577,                 0.8113,                0.55246,                0.37116,                 2.8061,                 1.7854,                 4.6672,               0.001076,               0.001076,               0.001076
                      9,                 1.2592,                 1.4748,                 1.8066,                0.43018,                    0.8,                0.42126,                0.25821,                 2.9038,                 1.7129,                 4.9791,               0.000944,               0.000944,               0.000944
                     10,                 1.2062,                 1.4169,                 1.7521,                0.51536,                0.74375,                0.62934,                0.44183,                 2.7346,                 1.5675,                 4.9487,               0.000812,               0.000812,               0.000812
                     11,                 1.1527,                 1.3601,                 1.7078,                0.44258,                0.84375,                 0.5186,                 0.3928,                 2.6731,                 1.5488,                 4.7718,                0.00068,                0.00068,                0.00068
                     12,                 1.1009,                 1.3228,                 1.6583,                0.44043,                 0.8904,                 0.5482,                0.40343,                  2.679,                 1.5767,                 5.0776,               0.000548,               0.000548,               0.000548
                     13,                 1.0479,                 1.2822,                 1.6167,                0.44899,                0.89375,                0.43728,                0.30664,                 2.7062,                 1.7259,                 4.8182,               0.000416,               0.000416,               0.000416
                     14,                 1.0033,                  1.245,                 1.5797,                0.45559,                   0.85,                 0.5774,                0.45901,                 2.6194,                 1.5075,                 4.9071,               0.000284,               0.000284,               0.000284
                     15,                0.95648,                 1.2147,                  1.539,                0.45746,                0.88125,                0.56884,                0.45804,                 2.5885,                 1.4807,                 4.7199,               0.000152,               0.000152,               0.000152
