                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8129,                 2.3537,                 1.9375,                0.84605,                0.31369,                0.36842,                0.22465,                 3.1875,                 2.4689,                 4.7592,             0.00055376,             0.00055376,             0.00055376
                      2,                 1.5004,                 1.9737,                 1.7412,                0.33696,                0.51136,                0.32681,                 0.1986,                  3.193,                  2.453,                 4.9497,              0.0010728,              0.0010728,              0.0010728
                      3,                  1.476,                 1.9104,                 1.7236,                0.28533,                0.61158,                0.36905,                0.22271,                 3.3356,                 2.0695,                 5.2409,              0.0015552,              0.0015552,              0.0015552
                      4,                 1.4335,                 1.8553,                 1.6786,                0.26807,                0.47279,                 0.3371,                0.20138,                 3.2076,                 2.6879,                 5.2925,               0.001502,               0.001502,               0.001502
                      5,                 1.3875,                 1.7763,                 1.6538,                0.29334,                0.53839,                0.33772,                0.21835,                 3.2543,                 2.8221,                 5.0068,               0.001447,               0.001447,               0.001447
                      6,                  1.354,                 1.6936,                  1.623,                0.39345,                0.48279,                0.45679,                0.31724,                 3.0631,                 2.1205,                 5.0301,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.3237,                 1.6462,                 1.5986,                0.49814,                0.51545,                0.49379,                0.33618,                 3.1232,                 2.0748,                 5.3403,              0.0013369,              0.0013369,              0.0013369
                      8,                    1.3,                  1.606,                 1.5796,                0.56085,                0.47323,                0.49997,                0.36059,                 3.0377,                 2.3703,                 5.0809,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.2996,                 1.5757,                 1.5766,                0.53469,                0.47844,                0.41184,                0.28339,                 3.1278,                 2.6408,                  5.238,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.2738,                 1.5263,                 1.5652,                0.60142,                 0.6322,                0.62076,                0.45359,                 3.0629,                 1.7271,                 5.1072,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2627,                  1.511,                 1.5581,                0.65757,                 0.5314,                0.58333,                0.40654,                  3.104,                 2.0364,                  5.355,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.2307,                 1.4567,                  1.532,                0.69014,                0.60969,                0.63238,                0.45792,                 3.0442,                 1.8061,                 5.4942,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.2345,                 1.4503,                 1.5374,                0.60514,                0.53101,                0.52174,                0.39233,                 3.0536,                 2.3223,                  5.449,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.2225,                 1.4132,                 1.5307,                0.65078,                0.59179,                0.63991,                 0.4517,                  3.104,                 1.6153,                 5.7125,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.2066,                 1.4157,                  1.522,                0.69122,                0.65658,                0.67704,                0.49711,                 3.0368,                 1.8007,                 5.6545,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.1869,                 1.3974,                 1.5056,                0.59301,                0.60219,                0.58028,                0.43594,                 3.0162,                 1.6431,                 5.3229,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.1696,                  1.366,                 1.4915,                0.56621,                0.60303,                0.56919,                 0.4342,                 2.9758,                 1.7223,                 5.3211,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.1516,                 1.3327,                 1.4798,                0.65033,                0.63452,                0.64549,                 0.4671,                 3.0084,                 1.6527,                 5.5018,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.1663,                 1.3391,                 1.4907,                0.63935,                0.63415,                0.62716,                0.48767,                 2.9766,                 1.9365,                  5.712,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.1437,                 1.3202,                 1.4737,                0.71913,                0.67053,                0.68007,                0.52184,                 2.9806,                 1.5763,                 5.8727,             0.00062179,             0.00062179,             0.00062179
                     21,                 0.9108,                 1.0467,                 1.3326,                0.67349,                 0.6625,                0.68026,                0.53173,                 2.9173,                 1.3232,                 5.8845,             0.00056678,             0.00056678,             0.00056678
                     22,                0.86417,                0.94294,                 1.3063,                0.76415,                0.67763,                0.76146,                0.59774,                 2.9334,                 1.2943,                 5.9195,             0.00051177,             0.00051177,             0.00051177
                     23,                0.83602,                0.91708,                 1.2921,                0.71655,                0.65288,                0.72596,                0.57319,                 2.9473,                 1.3377,                 5.9947,             0.00045676,             0.00045676,             0.00045676
                     24,                0.82144,                0.89905,                 1.2842,                0.72099,                0.66979,                0.74252,                0.60374,                 2.8908,                 1.3316,                 6.1882,             0.00040175,             0.00040175,             0.00040175
                     25,                0.81784,                0.85792,                 1.2838,                0.69204,                 0.6943,                0.73514,                0.58474,                 2.9162,                 1.3462,                 6.2834,             0.00034674,             0.00034674,             0.00034674
                     26,                 0.7915,                 0.8285,                 1.2701,                0.71897,                0.68871,                0.74658,                0.59322,                 2.9361,                 1.3446,                 6.2804,             0.00029172,             0.00029172,             0.00029172
                     27,                0.76338,                 0.8071,                 1.2488,                0.82787,                0.67296,                0.79787,                0.65462,                  2.891,                 1.2268,                 6.3999,             0.00023671,             0.00023671,             0.00023671
                     28,                0.75896,                0.79474,                 1.2485,                0.76409,                0.71556,                0.78713,                0.65364,                 2.8577,                 1.2611,                 6.3212,              0.0001817,              0.0001817,              0.0001817
                     29,                0.73255,                0.76577,                 1.2304,                0.73598,                 0.7199,                0.76838,                0.63158,                 2.8979,                 1.3132,                 6.4521,             0.00012669,             0.00012669,             0.00012669
                     30,                0.72526,                 0.7609,                  1.224,                0.76898,                0.71822,                0.79585,                0.65798,                 2.8786,                 1.2586,                 6.5676,             7.1681e-05,             7.1681e-05,             7.1681e-05
