                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8121,                 2.6268,                 1.9343,                0.38829,                0.45953,                0.43206,                0.21007,                 3.5249,                 2.6054,                 4.5797,              0.0004747,              0.0004747,              0.0004747
                      2,                 1.5192,                 2.0691,                 1.7403,                0.54893,                0.49033,                0.47575,                0.30843,                 3.1992,                 3.3691,                  4.656,             0.00091965,             0.00091965,             0.00091965
                      3,                 1.4843,                 1.9601,                 1.7109,                0.36515,                0.43601,                0.35635,                0.22126,                 3.2346,                 3.1698,                 4.3225,              0.0013332,              0.0013332,              0.0013332
                      4,                  1.431,                 1.8515,                 1.6717,                0.49259,                0.42763,                0.43453,                0.27231,                 3.2045,                 3.2156,                 5.1656,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.3815,                 1.7787,                  1.648,                0.67447,                0.53402,                0.57341,                0.35619,                 3.2341,                 1.9009,                 5.4398,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.3531,                 1.7187,                 1.6144,                0.64542,                0.53732,                0.55478,                0.36848,                 3.1674,                 1.9678,                 5.1307,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.3165,                 1.6463,                 1.5872,                0.64142,                0.56971,                0.56843,                0.38866,                 3.1527,                 2.0474,                  4.969,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.2952,                 1.6131,                 1.5759,                0.63631,                0.55721,                0.58499,                 0.4028,                 3.1589,                 2.9663,                 5.2454,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.2815,                 1.5739,                 1.5621,                0.75431,                0.60961,                0.66333,                0.45624,                 3.1077,                 2.1482,                 5.6065,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.2648,                 1.5417,                  1.557,                0.64023,                0.52882,                0.54155,                0.38263,                 3.1708,                 2.3485,                 5.3198,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.2498,                 1.5169,                 1.5443,                0.80808,                0.60606,                0.68406,                0.47795,                 3.1131,                 2.0558,                 5.2389,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.2328,                 1.4757,                 1.5302,                0.70737,                0.60046,                0.61574,                0.43286,                 3.1267,                 1.7145,                 5.4348,             0.00091027,             0.00091027,             0.00091027
