                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8049,                  2.426,                 1.9175,                0.41168,                0.62072,                0.45526,                0.28112,                 3.2331,                 2.5455,                 4.6062,             0.00055376,             0.00055376,             0.00055376
                      2,                 1.5066,                 2.0229,                 1.7163,                0.45819,                0.53134,                0.49303,                0.31971,                 3.1774,                  2.387,                 4.8091,              0.0010728,              0.0010728,              0.0010728
                      3,                 1.4707,                 1.9763,                 1.6928,                0.32638,                0.56337,                0.43049,                0.26603,                 3.2134,                 2.6498,                 4.7907,              0.0015552,              0.0015552,              0.0015552
                      4,                 1.4368,                 1.9115,                 1.6616,                0.53387,                 0.4799,                0.45542,                0.29323,                 3.2201,                 3.1026,                 5.0368,               0.001502,               0.001502,               0.001502
                      5,                 1.3873,                 1.8074,                 1.6309,                0.57262,                0.51777,                0.48758,                0.29982,                 3.4295,                 2.0741,                 5.0284,               0.001447,               0.001447,               0.001447
                      6,                 1.3584,                 1.7146,                 1.6022,                0.66082,                0.55945,                0.63888,                0.43072,                 3.1558,                 2.8438,                 5.0775,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.3263,                  1.644,                 1.5745,                0.50215,                0.51542,                0.44698,                0.31054,                 3.1619,                   2.28,                 5.0607,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2986,                 1.6025,                 1.5643,                0.64054,                0.60485,                0.57774,                0.41688,                 3.1267,                 2.0371,                 5.3009,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.2908,                 1.5742,                 1.5534,                0.53555,                 0.5429,                0.50692,                0.34784,                 3.1936,                 2.4554,                  5.266,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.2733,                 1.5454,                 1.5416,                0.66839,                0.58535,                0.60575,                0.43685,                 3.0952,                 2.1691,                 5.0037,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2624,                 1.5075,                 1.5414,                0.74973,                 0.6193,                0.67194,                0.47561,                 3.1013,                 2.4211,                 5.0475,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.2296,                 1.4491,                 1.5116,                0.75499,                0.64673,                0.70545,                0.52214,                 3.0722,                 1.7075,                 5.3733,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.2246,                 1.4568,                  1.514,                 0.6554,                0.59382,                0.62775,                0.46299,                 3.0709,                  1.885,                 5.4179,              0.0010069,              0.0010069,              0.0010069
