                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8075,                 2.2062,                  1.944,                0.91428,                0.31092,                0.38866,                0.21017,                  3.292,                 2.3702,                 4.7623,             0.00055376,             0.00055376,             0.00055376
                      2,                 1.5009,                 1.8071,                 1.7531,                0.89607,                0.32178,                0.39597,                0.24234,                 3.1489,                 2.2729,                 5.1709,              0.0010728,              0.0010728,              0.0010728
                      3,                 1.4745,                 1.7601,                 1.7364,                0.89754,                0.30296,                0.38482,                0.23534,                 3.2332,                 2.7595,                 5.2709,              0.0015552,              0.0015552,              0.0015552
                      4,                 1.4392,                 1.6982,                 1.6984,                0.91858,                0.31408,                0.38421,                0.24129,                 3.1677,                 2.7798,                 4.9057,               0.001502,               0.001502,               0.001502
                      5,                 1.3818,                 1.6115,                 1.6607,                0.86023,                0.32848,                0.40703,                0.25387,                 3.2516,                  1.994,                 5.0892,               0.001447,               0.001447,               0.001447
                      6,                 1.3557,                 1.5468,                 1.6301,                0.92148,                0.31765,                0.40838,                0.27481,                 3.0928,                 2.1214,                 4.7896,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.3343,                 1.5053,                  1.612,                0.36499,                0.34678,                0.31567,                 0.2148,                 3.1819,                 2.0638,                 5.0602,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2995,                 1.4782,                 1.5897,                0.39667,                0.42763,                0.39855,                0.27431,                 3.0977,                 1.9517,                 5.0798,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.2936,                 1.4434,                 1.5863,                0.34105,                0.28892,                0.25196,                 0.1718,                 3.1129,                   2.63,                  5.274,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.2722,                 1.4181,                 1.5687,                0.36818,                0.42451,                 0.3791,                0.27149,                 3.0844,                 1.7816,                 4.7714,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2535,                 1.4032,                 1.5649,                0.59189,                0.48838,                0.49519,                0.33662,                 3.0685,                  1.789,                 5.5526,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.2298,                 1.3529,                 1.5376,                0.55012,                0.42598,                0.45994,                0.31747,                 3.0313,                 1.7668,                 5.4579,              0.0010619,              0.0010619,              0.0010619
